# source http://cdsarc.u-strasbg.fr/viz-bin/qcat?J/A+A/578/A110#sRM-F.62
# PairID, IDinpair, RAdeg, DECdeg, z
  77 2 121.35712  46.28740 0.02890
  78 1 259.21936  57.46362 0.05005
  78 2 259.03262  57.52291 0.04986
  79 1 126.55972  48.28012 0.05375
  79 2 126.40179  48.25409 0.05377
  80 1 132.83058  53.93639 0.02805
  80 2 132.89220  54.02814 0.02836
  81 1 129.86823  52.25101 0.04433
  81 2 129.93770  52.17054 0.04401
  82 1 135.05695  53.91798 0.02536
  82 2 135.09558  53.94483 0.02518
  83 1 133.64554  57.16671 0.01687
  83 2 133.77872  56.82737 0.01655
  84 1 184.70850  64.35281 0.03078
  84 2 185.09200  64.30709 0.03094
  85 1 169.07796  64.23710 0.05086
  85 2 169.14558  64.23906 0.05097
  86 1 171.71959  64.84410 0.03732
  86 2 171.83656  64.96337 0.03750
  87 1 166.42117   5.70652 0.05013
  87 2 166.38454   5.70760 0.04994
  88 1 167.70222   2.40464 0.06590
  88 2 167.69659   2.40027 0.06557
  89 1 159.63095  58.78543 0.03116
  89 2 159.58456  58.81000 0.03162
  90 1 127.62593  42.80906 0.04544
  90 2 127.62656  42.80507 0.04541
  91 1 259.63177  30.87839 0.04493
  91 2 259.69763  30.93199 0.04535
  92 1 223.62166   2.28772 0.03413
  92 2 223.71382   2.40066 0.03409
  93 1 248.59451  48.06199 0.03531
  93 2 248.46785  47.99530 0.03479
  94 1 251.83946  44.70271 0.02540
  94 2 251.71558  44.88761 0.02556
  95 1 201.56987  58.68328 0.02314
  95 2 201.64026  58.68065 0.02332
  96 1 195.52670  59.72115 0.02729
  96 2 195.26404  59.76728 0.02712
  97 1 141.25220  54.09120 0.03215
  97 2 141.28670  54.06220 0.03223
  98 1 165.13596   3.00140 0.05313
  98 2 165.13800   3.01490 0.05358
  99 1 122.52740  38.01709 0.04042
  99 2 122.57264  38.07739 0.04094
 100 1 234.46521   3.45370 0.04388
 100 2 234.51080   3.44117 0.04417
 101 1 133.28981   2.24642 0.03524
 101 2 133.31943   2.24301 0.03473
 102 1 162.99179   3.79207 0.01210
 102 2 163.00107   3.83584 0.01199
 103 1 164.56775   4.58358 0.02202
 103 2 164.62825   4.63101 0.02217
 104 1 197.64557   2.75739 0.06729
 104 2 197.64977   2.75460 0.06772
 105 1 225.09641   3.86117 0.03637
 105 2 225.03986   3.86671 0.03661
 106 1 226.76257   3.89450 0.05588
 106 2 226.82483   3.89540 0.05571
 107 1 229.74483   3.00729 0.04263
 107 2 229.77428   3.02222 0.04253
 108 1 207.64087   2.23220 0.04219
 108 2 207.74681   2.25613 0.04166
 109 1 153.47322  -0.31887 0.07103
 109 2 153.41948  -0.26714 0.07066
 110 1 155.37209   0.15515 0.05655
 110 2 155.39168   0.07430 0.05704
 111 1  20.01159  14.36186 0.03120
 111 2  20.02647  14.35910 0.03149
 112 1 124.10468  43.97184 0.02006
 112 2 123.84315  44.06449 0.02030
 113 1 121.27240  40.17457 0.05010
 113 2 121.33477  40.08134 0.04977
 114 1 314.60724  -5.81284 0.02780
 114 2 314.61423  -5.82016 0.02813
 115 1 310.09265  -4.83333 0.06074
 115 2 310.09100  -4.89351 0.06096
 116 1 118.60367  39.37152 0.01985
 116 2 118.86887  39.42020 0.01985
 117 1 125.82095  45.89687 0.05373
 117 2 125.78506  45.85656 0.05394
 118 1 144.14735   1.11661 0.01643
 118 2 144.11128   1.19146 0.01629
 119 1 146.69812   2.16840 0.05795
 119 2 146.71889   2.20346 0.05833
 120 1 146.04329   2.41031 0.01994
 120 2 146.22548   2.46548 0.01994
 121 1 316.01703   9.91761 0.03379
 121 2 316.06061   9.85334 0.03402
 122 1 317.82291  10.48257 0.05885
 122 2 317.80829  10.49963 0.05872
 123 1 187.40202   3.44153 0.07869
 123 2 187.37764   3.49516 0.07831
 124 1  26.10923  13.15987 0.04498
 124 2  26.13050  13.05930 0.04538
 125 1 154.65547   3.26360 0.01444
 125 2 154.73141   3.66017 0.01439
 126 1 148.58925   4.09197 0.03430
 126 2 148.54680   3.92402 0.03435
 127 1 152.92784   4.81736 0.02869
 127 2 152.94870   4.82684 0.02897
 128 1 154.22711   3.76639 0.05243
 128 2 154.20016   3.78145 0.05229
 129 1 345.11932 -10.37935 0.03235
 129 2 345.20297 -10.44260 0.03256
 130 1 156.96178   2.60944 0.02847
 130 2 157.00244   2.57061 0.02852
 131 1 156.86752   2.91265 0.03291
 131 2 156.82094   3.02684 0.03322
 132 1 157.07698   4.00727 0.04424
 132 2 156.97385   3.97546 0.04374
 133 1 163.57387   5.66820 0.05489
 133 2 163.57658   5.66217 0.05486
 134 1 261.55725  62.14949 0.02783
 134 2 261.58826  62.14110 0.02808
 135 1 149.91473   0.58671 0.06551
 135 2 149.88693   0.58595 0.06516
