#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
34260 33.88 1 111437.2 +301851 0.00 2299 2313
34267 204.17 1 111445.6 +101329 0.00 14326 14864
34292 40.18 2 111503.4 -282332 10.30 3714 3751
34308 23.66 2 111513.6 +604203 0.00 2110 2122
34326 19.86 1 111527.0 +180637 9.48 1173 1177
34328 181.13 1 111525.5 -833428 0.00 12194 12584
34362 42.46 2 111600.9 -335804 10.81 3348 3377
34373 94.19 1 111608.3 +110254 0.00 6233 6335
34411 148.59 1 111643.3 +262221 12.02 8469 8658
34415 20.04 1 111646.7 +180101 9.78 1011 1014
34426 22.49 1 111654.6 +180306 7.11 1266 1270
34433 22.59 1 111658.9 +180854 8.17 1547 1553
34443 47.64 1 111704.2 -491205 10.90 4609 4665
34445 23.99 1 111704.5 -345718 11.39 2940 2962
34465 63.10 1 111717.6 -482631 0.00 4731 4790
34468 166.72 1 111722.0 +222022 0.00 10058 10325
34478 31.77 1 111730.1 +043319 0.00 1945 1955
34487 94.19 1 111733.3 -275344 11.41 7525 7675
34497 28.58 1 111740.2 +380309 0.00 2202 2215
34499 134.90 1 111741.2 -355907 0.00 9654 9900
34508 39.99 1 111746.5 +512835 10.86 3067 3092
34519 47.42 2 111753.4 -403536 10.87 3405 3436
34548 48.98 1 111814.9 -484445 0.00 4628 4684
34554 6.70 5 111816.5 -324850 6.76 1065 1068
34561 34.99 2 111821.3 +454453 10.09 2553 2570
34566 34.83 1 111825.3 +584710 7.97 1884 1894
34568 97.72 1 111828.3 +251925 12.00 7860 8023
34583 30.06 1 111836.1 +575959 8.05 2178 2190
34590 154.17 1 111841.4 -244121 0.00 8933 9144
34593 100.00 1 111842.9 -464040 0.00 5850 5941
34608 136.77 1 111853.5 -292527 10.97 9462 9697
34612 12.65 2 111855.8 +130534 6.10 1155 1159
34630 85.90 1 111916.6 +204848 10.41 6549 6662
34644 161.44 1 111920.9 +120120 0.00 10451 10738
34650 270.40 1 111930.6 +542746 0.00 21057 22210
34675 99.08 1 111955.5 -005247 10.61 7756 7914
34681 108.14 1 112000.6 +360603 11.56 7828 7989
34684 22.91 2 112003.8 +182125 8.24 1822 1831
34691 30.48 1 112012.1 -212814 0.00 1696 1704
34692 15.56 1 112012.4 +671430 0.00 1403 1408
34695 8.99 4 112015.0 +125927 5.94 1076 1079
34697 10.47 2 112016.9 +133519 6.21 1192 1196
34713 76.56 1 112030.3 +061448 0.00 6552 6665
34717 96.38 1 112031.3 -090050 0.00 7265 7405
34718 36.48 2 112031.3 +574653 11.20 2104 2116
34719 32.36 1 112031.8 +265747 11.02 1815 1823
34731 21.38 1 112039.6 -101526 0.00 2186 2199
34733 31.05 2 112039.8 +311318 0.00 2473 2490
34739 160.69 1 112039.4 -054017 0.00 9090 9307
34763 88.31 1 112100.3 +212014 11.27 6614 6730
34772 125.31 1 112103.9 +342038 10.81 11008 11327
34778 26.92 1 112106.9 +031405 7.54 1680 1687
34780 27.04 1 112108.8 +031140 10.35 2145 2157
34797 143.88 1 112123.0 +342124 10.95 10747 11051
34803 133.05 1 112126.9 +342710 11.56 10849 11158
34814 87.90 1 112132.9 +024837 10.95 7491 7639
34833 139.32 1 112142.5 +342146 11.21 10870 11181
34836 54.95 2 112143.1 +201011 8.83 4576 4631
34844 96.38 1 112148.1 -054528 0.00 8809 9013
34851 136.14 1 112154.5 -480308 0.00 13989 14502
34864 46.56 1 112203.0 +424913 0.00 3401 3432
34869 21.18 2 112208.3 +693754 0.00 1394 1399
34870 46.99 1 112158.0 +345655 0.00 2309 2323
34873 185.35 1 112203.1 +341853 0.00 10406 10691
34874 90.78 1 112207.8 -380356 12.39 3201 3229
34887 25.82 1 112218.5 +130354 0.00 1920 1930
34888 68.23 1 112217.9 +124321 0.00 4531 4585
34917 23.99 2 112239.0 +374554 10.94 2258 2272
34922 92.90 1 112241.6 -364314 0.00 4085 4129
34927 73.45 1 112243.4 -435958 11.70 5501 5581
34929 26.92 2 112241.8 +640359 0.00 1133 1137
34935 34.51 2 112254.7 +163524 8.90 1841 1850
34943 82.41 1 112300.2 -432056 0.00 5505 5586
34971 21.48 2 112323.2 +505333 0.00 989 992
34973 146.55 1 112324.5 +334944 11.37 10624 10921
34993 146.55 1 112343.7 -204347 0.00 10778 11083
34995 24.55 2 112345.4 +174906 10.44 1621 1628
34996 112.20 1 112346.5 -010616 9.83 6001 6096
35006 70.79 3 112359.9 -121747 10.26 5407 5484
35017 124.17 1 112405.1 +243655 11.84 8000 8169
35019 152.05 1 112410.6 +270050 11.06 10278 10556
35025 27.93 2 112410.7 +692447 10.73 1661 1668
35026 50.35 1 112414.5 -770938 10.94 5333 5408
35043 17.78 2 112426.1 +112031 9.30 1411 1416
35059 56.49 1 112439.8 -461546 0.00 5753 5840
35073 44.06 1 112452.9 -133420 11.44 5750 5837
35088 27.04 3 112502.5 -094743 8.25 2236 2249
35097 20.32 2 112512.9 -264411 8.67 2288 2302
35113 21.88 2 112526.8 +574316 10.85 2004 2015
35122 160.69 1 112530.9 +353016 11.06 10493 10783
35123 79.07 1 112530.4 +632646 9.66 3595 3629
35131 102.80 1 112537.5 -110823 0.00 6091 6189
35137 83.18 1 112546.3 +185623 0.00 5666 5751
35140 71.45 1 112545.8 -480830 10.33 5856 5947
35164 18.28 2 112608.2 +433512 6.94 1003 1006
35174 111.69 1 112614.0 +075029 0.00 6664 6781
35176 92.47 1 112617.4 -141648 0.00 6984 7113
35180 112.20 1 112617.2 +352024 11.30 10564 10857
35194 159.22 1 112627.4 +135041 0.00 12639 13058
35196 50.82 1 112634.0 +112623 0.00 3558 3592
35198 61.09 1 112634.9 -430331 0.00 4475 4528
35202 20.80 1 112640.5 +534448 0.00 830 832
35241 110.15 1 112723.4 -291527 10.15 7503 7651
35249 32.06 2 112731.8 +565237 8.72 1872 1881
35286 4.53 2 112759.7 +785938 12.50 -65 -65
35288 36.81 2 112804.0 -363233 10.69 3341 3371
35294 45.71 2 112811.1 +253939 9.28 3050 3074
35299 44.87 1 112811.6 -131140 0.00 5320 5395
35302 86.70 1 112814.8 +090848 10.85 6666 6784
35314 38.02 2 112824.3 +092427 9.35 2073 2084
35320 104.71 1 112831.0 +090615 11.59 6666 6783
35338 107.15 1 112843.5 -140711 0.00 6912 7038
35347 89.54 2 112850.4 +204742 10.43 6592 6707
35362 65.16 1 112902.4 +171355 10.94 4230 4278
35365 101.86 1 112906.5 +085918 10.49 6580 6694
35376 41.30 2 112911.7 +570756 9.85 2589 2607
35405 38.02 2 112928.9 +240536 10.80 3121 3147
35416 121.34 1 112943.1 -315105 12.03 9258 9483
35417 33.73 1 112944.4 -362329 0.00 3302 3331
35429 41.88 1 112959.6 -203458 0.00 3912 3952
35435 58.88 1 113004.7 -113246 0.00 5677 5762
35440 19.68 2 113007.5 +091636 8.02 1373 1378
35448 100.46 1 113013.5 -085146 0.00 7087 7219
35470 87.10 1 113029.7 +092316 0.00 6491 6602
35507 18.97 1 113109.3 +283401 0.00 1884 1893
35517 90.78 1 113112.5 +341210 0.00 6584 6699
35521 41.50 2 113122.4 +230654 0.00 3234 3261
35539 19.23 2 113131.9 -301827 7.59 2073 2084
35540 41.30 1 113132.3 -141352 9.55 2487 2503
35569 46.77 1 113202.4 +364153 0.00 2758 2778
35577 83.56 1 113207.6 -412541 11.08 5170 5241
35579 133.66 1 113210.4 +011226 11.71 6173 6273
35581 103.75 1 113213.5 +004909 10.37 6203 6305
35601 85.11 1 113228.1 +623026 10.52 3780 3818
35604 81.28 1 113230.5 -095810 0.00 6692 6810
35608 28.97 2 113232.2 +743739 10.65 1972 1982
35613 117.49 1 113234.8 +490635 0.00 10303 10582
35622 90.78 2 113247.0 +200217 0.00 6459 6569
35639 83.18 1 113252.3 +054337 10.81 5730 5817
35654 181.13 1 113305.1 -040047 0.00 15953 16618
35658 61.66 1 113312.6 -132017 0.00 5362 5438
35664 72.44 1 113310.6 -101343 11.48 6783 6904
35675 16.67 2 113320.6 +631648 0.00 1396 1401
35676 13.49 2 113321.2 +470144 8.05 1082 1085
35679 80.91 1 113324.1 +323610 11.57 6554 6667
35684 4.23 1 113328.8 +491417 11.90 456 457
35694 83.56 1 113342.0 +232445 11.14 7465 7613
35698 33.57 1 113340.5 +615316 10.30 3452 3484
35700 158.49 1 113344.1 +100519 12.49 9518 9757
35704 65.77 1 113338.1 -154616 0.00 4029 4072
35705 29.24 1 113345.2 -032612 0.00 1974 1984
35720 117.49 1 113359.3 +490343 10.30 9819 10073
35725 99.54 1 113407.6 +364059 0.00 6706 6825
35736 125.31 1 113414.6 +490235 10.88 9747 9997
35742 67.61 1 113420.1 -062323 10.66 5384 5461
35776 43.85 1 113443.6 -371257 11.60 3543 3576
35792 78.34 1 113455.2 +160656 0.00 5781 5870
35797 21.78 1 113501.6 +545101 0.00 1358 1363
35803 102.33 1 113508.3 +155730 0.00 5461 5540
35818 147.91 1 113520.6 -460336 11.73 10375 10658
35833 39.81 1 113532.5 -375723 0.00 3035 3059
35839 68.23 1 113536.9 +000739 11.70 6274 6378
35841 145.21 1 113537.6 +250519 11.11 9915 10173
35853 87.50 1 113547.8 -490144 10.97 5358 5434
35856 5.30 1 113547.9 +543130 10.00 400 400
35862 94.19 1 113556.4 -482910 11.22 6653 6769
35869 40.93 2 113557.3 +703208 8.51 2773 2794
35878 3.22 2 113606.0 +451708 12.30 455 455
35879 85.11 1 113606.9 -123409 0.00 4608 4664
35900 33.73 2 113626.5 +581126 0.00 1371 1376
35904 55.21 1 113628.8 -450342 0.00 3513 3545
35908 158.49 1 113630.6 +490752 11.06 11428 11772
35913 32.06 2 113633.4 +362437 11.04 1839 1848
35915 15.35 1 113636.8 +004858 0.00 1471 1477
35920 167.49 1 113636.6 +490347 11.22 9852 10107
35927 83.56 1 113648.7 -125847 11.48 5393 5470
35928 128.82 1 113645.8 -221320 11.52 7476 7623
35931 21.28 2 113648.2 +541736 8.77 1467 1473
35935 52.48 1 113649.8 -093403 0.00 6284 6389
35938 164.44 1 113655.4 +115053 0.00 10685 10985
35942 98.17 2 113654.3 +195816 11.28 6538 6651
35952 70.15 2 113701.9 +153414 11.73 4299 4348
35954 37.67 1 113702.5 -364855 0.00 3130 3156
35956 208.93 1 113704.2 +240546 11.07 10527 10818
35960 102.80 1 113706.8 +025044 12.09 9151 9372
35962 140.60 1 113708.3 -324917 0.00 9289 9516
35966 55.21 1 113713.5 +152557 0.00 4378 4429
35973 128.23 1 113736.0 +200949 11.77 8062 8233
35978 89.54 2 113730.4 +222358 0.00 7182 7318
35989 226.99 1 113735.9 +092822 0.00 15265 15874
35991 20.99 2 113737.1 +163322 0.00 1378 1383
35999 14.00 1 113744.1 +475335 0.00 925 927
36000 38.37 1 113751.0 +560831 0.00 2443 2459
36014 6.00 1 113753.2 -391314 12.90 966 968
36026 102.80 1 113759.4 -171400 10.71 6910 7036
36028 125.31 2 113800.5 -321928 10.66 9151 9372
36029 24.43 2 113802.1 +351213 0.00 1901 1911
36038 123.03 1 113810.0 -232543 11.67 8349 8532
36045 85.51 1 113820.1 -130259 0.00 5495 5574
36047 86.70 1 113815.5 -294343 10.43 4466 4519
36060 53.21 1 113825.1 +204425 0.00 3684 3720
36061 92.47 1 113833.3 -011104 11.10 6604 6719
36068 112.20 1 113829.4 +203139 10.69 8039 8209
36079 32.06 2 113844.0 +334817 0.00 2131 2143
36097 85.51 1 113857.6 -175809 10.84 6975 7103
36102 80.17 1 113903.3 -001221 10.61 5784 5872
36113 97.27 1 113905.5 -091947 0.00 5992 6087
36115 87.90 1 113908.5 -231808 11.57 8443 8631
36132 86.30 2 113924.4 +193204 12.10 7106 7240
36133 157.76 1 113916.2 +202539 11.46 8093 8266
36137 24.21 1 113920.9 +581605 0.00 1299 1303
36146 80.91 1 113929.1 +603246 11.73 3615 3650
36151 153.46 1 113934.4 -215955 0.00 11890 12261
36156 84.72 1 113941.8 -092203 0.00 5892 5984
36160 61.94 1 113944.9 +315547 0.00 3038 3063
36172 107.65 1 113949.6 -443339 11.27 10088 10356
36174 21.28 1 113952.8 +085228 0.00 2336 2351
36183 136.14 1 114001.6 +112746 0.00 10619 10916
36192 24.77 2 114006.8 +583647 10.77 1365 1370
36220 115.35 1 114037.2 -443131 0.00 10201 10475
36224 91.20 1 114041.7 +202034 9.39 6861 6985
36232 26.06 1 114049.0 +351210 0.00 1816 1825
36238 21.78 2 114054.0 +561207 11.59 1549 1555
36240 49.66 1 114055.7 -442851 9.85 3472 3504
36243 15.92 2 114058.8 +112816 8.03 1343 1348
36244 63.97 1 114058.5 -463413 0.00 5712 5798
36245 117.49 1 114058.8 -222838 11.05 7463 7610
36265 63.97 1 114116.7 +474127 9.88 3296 3325
36266 21.48 2 114118.6 +363248 8.94 1733 1741
36304 36.31 3 114157.4 -060920 8.95 2064 2075
36315 49.20 1 114209.1 -181008 10.50 4065 4109
36324 137.40 1 114211.8 -104627 0.00 7091 7224
36339 97.72 1 114219.2 -083720 0.00 6182 6283
36343 18.28 2 114226.3 +513552 0.00 1165 1169
36349 90.36 2 114224.5 +200709 11.08 6298 6403
36354 67.30 1 114228.9 -082025 11.57 7085 7217
36358 192.31 1 114231.0 -021506 0.00 14580 15137
36365 89.54 1 114243.7 +085827 11.44 6890 7016
36371 71.45 2 114245.2 +200156 11.27 6657 6774
36381 74.47 1 114302.9 +404938 0.00 5419 5496
36383 211.84 1 114255.8 -361722 0.00 15504 16133
36386 31.77 1 114249.2 +772222 0.00 1722 1730
36389 88.31 1 114302.0 +235640 10.98 7131 7265
36409 80.17 1 114313.3 -124553 11.41 5149 5219
36417 49.66 1 114318.6 -125242 0.00 5314 5388
36428 85.11 1 114322.8 +104805 0.00 6448 6558
36430 176.20 1 114322.9 -191117 0.00 9945 10206
36431 72.44 2 114322.7 +162907 10.82 6880 7005
36441 95.94 1 114329.0 +100942 10.95 6411 6520
36450 67.61 1 114334.7 +085632 9.50 6334 6440
36466 134.28 1 114349.0 +195806 0.00 7044 7175
36469 100.93 1 114402.2 +195818 10.91 6643 6760
36475 60.81 2 114354.3 +104705 10.86 6263 6366
36476 92.47 1 114356.5 +195340 10.06 6668 6785
36487 104.71 1 114402.2 +195658 9.20 6562 6676
36493 47.42 2 114404.9 +600711 9.64 2599 2616
36513 209.89 1 114418.0 -181204 0.00 10293 10572
36516 116.41 1 114420.4 +195850 11.12 6704 6823
36531 139.96 1 114425.7 -282745 12.15 8950 9161
36547 53.46 1 114436.8 +104713 0.00 6540 6653
36580 110.66 1 114450.5 -013604 11.13 8898 9106
36581 72.11 1 114452.1 -091359 0.00 6072 6169
36582 90.36 1 114452.3 +192715 11.19 5808 5897
36588 131.22 1 114454.2 -440556 0.00 6950 7078
36603 91.20 1 114503.9 +193713 11.22 6797 6919
36604 92.47 2 114503.9 +195824 10.17 5414 5492
36605 86.70 1 114500.2 +072952 0.00 6258 6362
36606 91.20 1 114505.0 +193622 9.71 6802 6924
36607 63.39 1 114505.5 +082809 9.61 4839 4901
36608 64.27 1 114505.7 +212441 12.25 8141 8316
36618 66.68 1 114515.0 -014210 0.00 8614 8809
36643 23.01 2 114526.2 -100610 11.66 2082 2093
36652 155.60 1 114530.3 -433426 0.00 10685 10985
36653 16.07 1 114537.0 +311758 11.58 2101 2113
36659 96.38 1 114535.9 +090705 10.93 6620 6735
36660 19.41 2 114535.7 +555312 0.00 1321 1326
36664 34.36 2 114541.9 -282159 0.00 2185 2198
36670 75.51 2 114546.1 +194625 9.98 5742 5830
36671 81.66 1 114546.2 +030146 12.41 6358 6465
36683 69.50 2 114548.9 +203742 12.04 7393 7537
36686 11.80 1 114556.6 +501159 10.97 951 954
36699 15.56 2 114607.8 +472940 7.80 1102 1105
36706 113.24 2 114612.3 +202329 9.64 7273 7412
36713 29.51 1 114624.1 +134938 0.00 3037 3061
36727 66.07 1 114642.5 +235747 0.00 6718 6838
36737 22.80 2 114646.5 -275519 8.41 2284 2298
36739 30.90 1 114646.2 +143158 0.00 3496 3528
36743 28.31 1 114649.4 +692301 0.00 1518 1524
36744 76.91 1 114653.2 -142906 0.00 4873 4936
36756 85.90 1 114705.6 +195013 9.82 6187 6288
36758 4.61 1 114659.2 +612006 18.78 217 217
36778 137.40 1 114728.2 +180314 0.00 6191 6292
36779 112.72 2 114739.3 +195621 11.46 6494 6605
36816 59.98 1 114803.4 +200022 10.98 7564 7715
36825 9.86 1 114800.6 +494829 0.00 1125 1129
36832 101.86 2 114803.3 +302133 9.88 6576 6690
36836 54.95 2 114811.3 +545930 0.00 2591 2608
36849 45.92 1 114812.7 +131231 0.00 3509 3541
36856 100.00 2 114827.5 +210923 11.30 7144 7279
36864 118.58 1 114829.2 -341659 12.43 7567 7718
36865 127.06 1 114828.9 -330506 11.60 8514 8705
36871 68.55 1 114832.4 +124218 0.00 4733 4792
36875 16.44 1 114838.2 +484239 0.00 1173 1177
36887 36.81 2 114850.4 -020156 0.00 2094 2105
36909 85.11 1 114904.9 -094347 0.00 6135 6234
36914 37.15 1 114909.4 +270119 8.81 2103 2115
36918 28.31 1 114913.2 -291636 7.74 1915 1925
36923 57.81 1 114918.8 +260717 11.10 3907 3948
36928 110.66 1 114923.4 -010501 10.31 6555 6669
36930 20.99 2 114923.3 +394618 0.00 1101 1105
36932 31.62 2 114923.6 +264428 11.57 2159 2172
36933 23.99 1 114924.6 -050706 0.00 2034 2045
36941 66.99 1 114930.1 -010511 0.00 6116 6215
36943 115.35 1 114929.8 -343508 12.06 8730 8931
36946 73.45 1 114936.3 -012720 0.00 5977 6072
36950 145.21 1 114939.7 -033147 0.00 8653 8851
36969 98.17 1 114955.3 -033946 0.00 8488 8678
36973 25.82 1 115006.7 +515117 0.00 1439 1444
36976 10.19 1 115002.7 +150123 0.00 1099 1102
36979 17.14 1 115004.5 +262846 0.00 2092 2104
36988 77.27 1 115012.2 +065955 0.00 6347 6453
36998 92.90 1 115020.5 -024839 11.28 8375 8560
37004 127.06 1 115018.1 +351514 0.00 6634 6751
37014 80.17 1 115032.6 +063402 10.43 6491 6603
37036 17.14 2 115045.5 +514927 9.09 1151 1154
37038 19.59 2 115046.9 +454826 0.00 1028 1030
37040 74.47 2 115052.7 +211009 11.89 8003 8172
37048 10.33 1 115055.9 +143541 0.00 1350 1355
37050 2.63 2 115052.8 +385250 11.90 497 498
37051 74.47 1 115055.5 +210843 0.00 6745 6865
37054 148.59 1 115056.9 +211149 0.00 8397 8583
37061 20.51 3 115101.8 -284822 6.61 1890 1899
37132 12.36 2 115145.9 +380053 11.60 1176 1180
37136 16.90 1 115147.7 +484059 9.79 1182 1185
37140 56.23 1 115149.1 +233140 0.00 7527 7676
37143 123.59 2 115152.5 +183245 0.00 6303 6408
37153 52.00 2 115159.8 +210630 11.68 6961 7089
37156 47.64 1 115202.0 +164834 10.61 4070 4114
37178 19.05 2 115220.6 -265420 9.04 2365 2380
37196 25.00 1 115231.3 -035219 0.00 1935 1945
37201 166.72 1 115235.2 -084605 0.00 10955 11271
37210 104.71 1 115236.2 +132803 11.53 6627 6743
37214 63.97 1 115238.0 +241827 0.00 5254 5327
37235 12.42 1 115255.3 +365910 7.38 1176 1180
37236 50.82 1 115258.3 +611258 12.13 3275 3303
37238 19.32 1 115300.0 -042533 0.00 1853 1862
37243 37.50 2 115303.3 -363819 9.74 3270 3298
37247 119.12 1 115308.2 -323358 0.00 8518 8709
37254 30.34 1 115311.8 -390748 0.00 3560 3593
37259 58.34 2 115315.4 +113802 0.00 3083 3108
37260 86.30 1 115316.9 +232752 11.41 7749 7908
37264 83.56 2 115320.3 +204505 10.37 6522 6634
37271 20.42 2 115324.0 -283311 9.68 2047 2058
37276 92.90 1 115333.7 +105239 0.00 6824 6947
37288 83.95 2 115341.2 +232255 10.62 6772 6893
37290 18.54 2 115341.7 +475131 8.71 1013 1015
37304 76.56 1 115348.7 -051004 10.51 6108 6206
37306 19.23 2 115349.0 +521935 7.18 1236 1240
37307 27.93 1 115350.3 -272057 0.00 1978 1989
37308 34.51 1 115351.0 +332155 0.00 3478 3510
37318 15.85 1 115357.1 -200814 0.00 2040 2052
37325 22.08 2 115400.7 -203402 10.33 2012 2023
37326 27.42 1 115401.5 -193407 0.00 1991 2002
37339 18.88 1 115412.3 +000811 11.04 1496 1502
37342 78.34 1 115419.6 -185700 0.00 7437 7583
37352 31.92 1 115425.1 -021910 0.00 2752 2773
37364 84.72 1 115439.0 -405556 10.82 7041 7172
37366 36.31 1 115440.1 -135829 7.73 2216 2229
37369 5.45 1 115443.2 -333331 13.60 968 971
37373 37.33 1 115449.5 -165151 0.00 2172 2185
37379 153.46 1 115451.5 -313425 0.00 11451 11795
37388 157.04 1 115501.1 -472645 11.70 11725 12086
37398 54.95 1 115510.4 -075037 0.00 5956 6050
37409 82.41 2 115516.8 +172915 11.56 7114 7248
37418 19.86 2 115523.8 +543926 0.00 1022 1025
37420 41.50 1 115524.5 -501804 0.00 4600 4656
37428 174.58 1 115542.2 +245512 0.00 10461 10749
37429 88.72 1 115528.7 +115806 9.38 6733 6853
37452 63.39 1 115540.1 -120139 0.00 5856 5947
37463 93.33 2 115544.8 +175317 0.00 6680 6798
37466 20.23 2 115545.1 +551914 9.63 1015 1017
37476 27.93 1 115550.6 -181147 11.28 1955 1965
37483 36.31 2 115557.4 +064459 8.82 2850 2871
37496 18.97 2 115607.4 -195345 8.61 2075 2087
37501 94.19 1 115606.0 +150754 12.19 6687 6805
37502 137.40 1 115610.3 +603121 10.79 10087 10354
37513 40.36 1 115622.4 -193306 0.00 2272 2285
37520 21.58 2 115628.1 +550729 8.92 1282 1286
37521 88.31 1 115628.2 +394430 11.45 6435 6544
37525 19.23 2 115628.8 +502542 11.21 1106 1110
37541 109.65 1 115641.4 -322309 0.00 8369 8554
37542 17.22 2 115642.1 +482002 10.48 1144 1148
37549 34.04 2 115646.5 -381132 10.77 3309 3338
37553 16.75 2 115649.6 +530937 11.89 1247 1252
37554 100.46 1 115649.4 +124633 0.00 6745 6865
37562 45.92 1 115657.9 -195118 0.00 2156 2168
37566 28.31 1 115659.6 -195912 0.00 2237 2250
37575 128.82 1 115710.2 -141636 12.35 8670 8868
37591 55.72 1 115720.9 +251143 9.09 4649 4707
37598 17.95 1 115725.5 +575548 0.00 1354 1359
37614 83.56 1 115731.8 -011510 11.72 5861 5952
37617 26.18 2 115735.9 +532228 7.13 1227 1231
37618 10.05 1 115735.6 +552730 9.63 861 863
37642 14.19 1 115756.2 +552712 7.42 1211 1215
37669 40.93 1 115819.0 -393301 10.83 4018 4061
37681 17.86 2 115825.4 -222624 0.00 2146 2158
37686 66.37 1 115827.6 +100116 10.54 4528 4583
37689 18.11 2 115830.0 +380433 0.00 1160 1164
37691 20.61 2 115831.4 +435648 7.70 1060 1063
37697 18.54 2 115838.0 +471541 9.58 1115 1118
37723 12.71 2 115856.7 +302445 10.76 1049 1052
37735 23.44 1 115909.3 +524227 0.00 1263 1268
37738 32.81 1 115910.2 +374736 0.00 3469 3501
37757 78.70 1 115923.6 -013917 0.00 6418 6526
37760 14.66 2 115925.1 +505742 7.65 1164 1168
37767 75.16 1 115927.7 -470943 11.60 5668 5753
37829 89.54 1 120011.6 -203318 0.00 6720 6839
37832 16.44 2 120018.9 +503910 11.65 948 951
37845 29.92 1 120023.6 -010600 7.39 1817 1826
37850 173.78 1 120028.0 +093655 12.21 17443 18238
37861 94.19 1 120031.3 +085148 0.00 6608 6723
37863 21.48 1 120034.6 -175032 8.75 1974 1984
37882 269.15 1 120046.1 +140934 12.45 13180 13636
37906 20.99 2 120107.1 -243406 10.77 2136 2148
37912 26.92 1 120110.5 +140614 0.00 1870 1879
37935 44.26 2 120129.6 +691926 0.00 2455 2471
37958 51.76 1 120148.5 -503500 0.00 4398 4449
37967 22.08 1 120153.0 -185204 0.00 1987 1997
37969 20.61 2 120153.6 -185311 7.24 1983 1993
37976 44.67 1 120203.2 +295053 12.18 3369 3399
37979 224.91 1 120203.5 -370254 0.00 14036 14552
38008 73.79 1 120225.8 -041821 0.00 6091 6189
38012 111.69 1 120224.0 +145036 0.00 7595 7747
38014 19.05 1 120229.3 +622503 0.00 1642 1650
38031 32.96 2 120242.3 +015836 8.86 2333 2348
38037 11.27 1 120246.0 -290535 0.00 2532 2549
38049 28.44 2 120254.0 -162225 8.84 2118 2130
38054 92.47 1 120257.8 +045045 10.95 6633 6749
38068 11.02 1 120309.7 +443152 7.88 928 931
38081 48.08 1 120321.5 +292511 0.00 3863 3902
38087 26.92 2 120324.5 -193122 0.00 2013 2024
38102 55.46 1 120331.4 -433914 0.00 4903 4966
38114 41.11 1 120335.0 -252249 0.00 2263 2276
38117 9.95 1 120340.2 +023828 0.00 1584 1591
38126 33.57 1 120350.5 -273609 0.00 2478 2494
38128 39.08 1 120350.5 +163315 0.00 2394 2409
38148 4.39 1 120401.9 +523518 10.80 392 393
38150 14.72 2 120403.8 +315345 8.20 1047 1050
38156 90.36 1 120406.2 +201406 9.87 6647 6764
38167 8.79 1 120411.2 +182636 0.00 1262 1266
38168 44.67 2 120411.5 +105115 9.99 2758 2778
38177 187.07 1 120413.9 +142956 0.00 10040 10305
38192 84.33 1 120421.3 +091202 0.00 7247 7385
38212 22.70 2 120433.6 +642614 10.11 1567 1574
38219 125.89 1 120438.6 +110259 12.29 7131 7266
38222 10.57 2 120441.2 -280659 11.73 2089 2100
38240 93.76 3 120449.8 -022257 9.75 6434 6543
38244 15.21 1 120451.8 +265933 0.00 857 859
38273 132.43 1 120512.5 +103825 0.00 10362 10644
38283 19.95 2 120522.7 +502110 9.19 938 940
38296 100.00 1 120532.8 -300939 11.61 7870 8034
38302 14.00 2 120533.8 +503221 7.55 939 941
38330 19.41 1 120547.0 -275624 9.79 2179 2191
38334 32.51 1 120548.6 -295819 11.18 2588 2606
38346 17.14 1 120554.0 -143135 0.00 1796 1805
38347 29.92 2 120556.1 +773018 10.35 2046 2058
38353 74.13 1 120553.7 -124023 0.00 5833 5923
38354 79.07 1 120557.2 -123950 0.00 5848 5939
38356 11.59 2 120557.9 +430838 0.00 1002 1005
38361 12.30 2 120601.2 +472842 8.00 780 781
38362 157.76 1 120601.3 -494353 0.00 10783 11089
38367 9.73 1 120607.2 -225053 0.00 2069 2081
38370 20.42 2 120608.6 +493458 8.09 1272 1276
38375 8.32 1 120610.7 +425720 0.00 1014 1017
38390 125.89 1 120618.9 -281150 0.00 12316 12714
38392 19.50 2 120623.5 +524239 7.76 1018 1021
38410 60.53 1 120644.5 +174250 11.10 4641 4698
38411 26.67 1 120640.8 -294536 7.57 2206 2219
38426 61.38 1 120651.0 -110541 10.22 4835 4897
38431 39.45 1 120653.1 -361620 0.00 3174 3201
38440 9.55 2 120703.1 +430356 7.61 1012 1015
38441 120.78 1 120703.5 +183154 10.65 7505 7653
38457 74.82 1 120710.2 +131450 0.00 6690 6808
38460 65.16 1 120712.3 -141107 0.00 4424 4476
38464 26.67 2 120714.2 -300128 10.04 2055 2066
38499 90.36 1 120740.6 -180424 0.00 6117 6216
38524 23.99 1 120806.0 +651026 6.98 1498 1504
