#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
767 77.62 2 001046.9 +332110 10.55 4448 4500
772 156.31 1 001057.0 +253335 11.48 9915 10174
789 92.47 3 001112.6 -333443 10.58 7582 7734
791 84.72 1 001114.2 +285423 10.98 7713 7869
798 69.82 1 001122.3 +062321 9.77 5680 5766
801 151.36 1 001122.9 -565726 0.00 9647 9892
816 141.25 1 001145.1 +282956 11.55 7709 7866
830 54.95 1 001201.3 +262335 0.00 4173 4219
832 171.40 1 001206.0 +245918 0.00 10407 10691
833 65.16 1 001208.9 +120244 0.00 5995 6090
835 113.24 1 001209.4 +275435 0.00 7065 7196
836 64.86 1 001206.1 -002455 0.00 5116 5185
843 111.17 1 001214.5 -271124 0.00 10131 10401
847 130.62 1 001215.7 +221918 10.65 7301 7442
851 215.77 1 001218.7 -370444 0.00 14975 15561
865 87.90 1 001248.0 +220123 10.70 5608 5691
880 169.04 1 001303.6 -054331 0.00 11610 11964
887 106.66 1 001315.4 -492027 0.00 9770 10021
892 185.35 1 001319.6 -373052 0.00 14991 15579
894 63.68 1 001329.1 -064744 0.00 8034 8204
908 124.74 1 001344.8 +301142 10.90 6806 6928
916 128.82 1 001347.8 -042830 0.00 10828 11136
924 20.32 1 001400.7 +125750 0.00 1323 1328
930 6.64 1 001403.9 -231055 10.07 158 158
